year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Adamstown 132_11kV,01MAY2015,MW,9.33120,9.19847,8.20996,9.33120,9.33120,8.78853,8.03520,8.03520,8.03520,7.46125,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,7.80937,8.03520,8.44973,9.33120,9.33120,10.40701,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.02397,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,9.33120,10.44025,10.62720,10.62720,10.62720,11.33994,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.68296,10.62720,10.62720,10.62720,10.62720,12.36801,12.24446,11.14560,10.93213,9.84960,9.84960,9.84960,9.84960
2016,Adamstown 132_11kV,02MAY2015,MW,9.84960,9.84960,9.56252,9.84960,9.84960,9.19890,8.55360,8.55360,8.55360,8.48123,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,6.43537,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,6.79385,7.25760,8.41203,8.55360,8.55360,9.40826,9.84960,9.84960,9.84960,11.01620,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,11.14560,12.10945,12.44160,12.44160,12.44160,12.44160,12.44160,12.44160,12.44160,12.44160,12.44160,12.44160,11.47719,11.14560,11.14560,11.14560,11.14560,11.14560,12.63993,11.68823,10.94829,10.10880,10.10880,10.10880,10.10880,10.10880,9.14576,8.81280
2016,Adamstown 132_11kV,03MAY2015,MW,8.81280,8.81280,8.85608,9.33120,8.75933,8.03520,8.03520,8.03520,8.03520,7.50953,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,7.15460,8.03520,8.03520,8.03520,8.32789,9.33120,9.33120,9.33120,9.33120,9.33670,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,10.62720,11.52060,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,11.92320,10.66912,10.62720,10.62720,10.62720,10.62720,12.12179,11.17670,10.69250,9.59040,9.59040,9.59040,9.59040,9.19587,8.29440,8.29440
2016,Adamstown 132_11kV,04MAY2015,MW,8.29440,8.09602,7.20987,8.55360,8.09700,7.25760,7.25760,7.25760,7.25760,7.25760,6.83790,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,5.96160,6.01879,7.25760,7.25760,8.30722,8.55360,8.55360,9.28506,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.84960,9.87029,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,9.59040,10.56488,10.88640,10.88640,11.00764,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,12.18240,11.23419,10.88640,10.88640,10.88640,10.88640,10.38181,9.59040,9.59040,11.58529,11.66400,10.62074,9.78000,9.07200,9.07200,9.07200,9.07200
2016,Adamstown 132_11kV,05MAY2015,MW,9.07200,9.07200,9.07114,9.33120,9.33120,8.27826,8.03520,8.03520,7.90768,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,6.73920,7.59806,8.03520,8.03520,8.31418,8.24612,8.67625,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,8.55360,7.43821,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.25760,7.63093,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,9.58206,10.10880,10.10880,10.10880,10.32346,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,10.50463,10.10880,10.10880,10.10880,10.10880,10.10880,9.87666,11.30281,11.25834,10.10880,9.52711,8.81280,8.81280,8.81280,8.81280
2016,Adamstown 132_11kV,06MAY2015,MW,8.81280,8.81280,8.65239,8.81280,8.81280,8.58794,7.51680,7.51680,7.51680,7.51680,6.61921,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,7.14339,7.51680,7.51680,8.43024,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,9.05570,10.10880,11.00957,11.40480,11.40480,11.40480,11.40480,12.36028,12.70080,12.70080,12.70080,11.48630,11.40480,11.40480,11.40480,11.40480,11.40480,10.19969,10.10880,10.10880,10.10880,11.35789,11.40480,10.70458,10.10880,10.10880,9.18197,8.81280,8.81280
2016,Adamstown 132_11kV,07MAY2015,MW,8.81280,8.81280,8.81160,9.07200,9.07200,8.82965,7.77600,7.77600,7.77600,7.77600,6.66705,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.89831,7.77600,8.76538,9.07200,9.07200,10.31054,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,9.53354,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,8.09630,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,8.90644,9.07200,9.07200,9.07200,9.07200,10.07935,10.85661,11.66400,11.66400,11.66400,11.66400,11.66400,11.66400,11.94116,12.96000,12.96000,12.96000,11.73614,11.66400,11.66400,11.66400,11.66400,11.05686,10.36800,10.36800,11.86585,11.92320,11.35147,10.62720,10.62720,9.58718,9.33120,9.33120
2016,Adamstown 132_11kV,08MAY2015,MW,9.33120,9.33120,9.25283,9.07200,9.07200,9.07200,7.85605,7.77600,7.77600,7.77600,7.77600,7.34326,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,6.48000,7.63578,7.88600,9.07200,10.19389,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,10.36800,9.89783,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,9.07200,8.31127,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.91815,9.07200,9.07200,9.07200,10.23837,10.62085,11.66400,11.66400,11.66400,11.66400,11.66400,11.66400,11.87134,12.96000,12.96000,12.96000,12.07877,11.66400,11.66400,11.66400,11.66400,11.66400,11.30591,10.36800,12.60577,12.04926,11.40480,10.97598,10.10880,10.10880,10.10880,10.10880
2016,Adamstown 132_11kV,09MAY2015,MW,9.77557,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,7.55374,7.51680,7.51680,7.51680,7.51680,7.51680,6.57442,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,7.14937,7.51680,7.56202,8.81280,8.81280,8.97525,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,10.10880,9.18574,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.39552,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,8.47155,8.81280,8.81280,8.81280,9.79414,10.43650,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.04422,10.10880,10.10880,12.10333,11.42750,10.88640,9.88652,9.59040,9.59040,9.59040,9.59040,8.53151,8.29440
2016,Adamstown 132_11kV,10MAY2015,MW,8.29440,8.29440,8.33167,8.81280,8.16292,7.51680,7.51680,7.23459,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,7.50664,7.51680,7.51680,8.40713,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,7.57640,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,8.27623,8.81280,8.81280,8.93909,10.10880,10.40692,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,11.40480,10.98261,10.10880,10.10880,11.85019,11.10128,10.62720,9.76504,9.33120,9.33120,9.33120,8.78439,8.03520,8.03520
